iter	Passed	Remaining
746	19370	6560
747	19388	6531
748	19406	6503
749	19422	6474
750	19445	6447
751	19463	6418
752	19484	6391
753	19501	6362
754	19520	6334
755	19537	6305
756	19560	6278
757	19583	6252
758	19604	6224
759	19627	6198
760	19641	6168
761	19661	6140
762	19678	6112
763	19694	6083
764	19710	6054
765	19736	6029
766	19766	6004
767	19789	5978
768	19806	5949
769	19835	5924
770	19853	5896
771	19871	5868
772	19889	5840
773	19907	5812
774	19929	5785
775	19948	5758
776	19966	5730
777	19986	5702
778	20009	5676
779	20029	5649
780	20047	5621
781	20070	5595
782	20093	5568
783	20109	5540
784	20153	5519
785	20180	5494
786	20196	5466
787	20226	5441
788	20246	5414
789	20261	5385
790	20280	5358
791	20302	5331
792	20323	5305
793	20342	5277
794	20362	5250
795	20380	5223
796	20403	5196
797	20426	5170
798	20445	5143
799	20462	5115
800	20479	5087
801	20499	5061
802	20516	5033
803	20532	5005
804	20555	4979
805	20575	4952
806	20597	4925
807	20617	4899
808	20638	4872
809	20658	4845
810	20683	4820
811	20715	4796
812	20738	4770
813	20759	4743
814	20783	4717
815	20819	4694
816	20837	4667
817	20856	4640
818	20876	4613
819	20900	4587
820	20924	4562
821	20943	4535
822	20962	4508
823	20985	4482
824	21025	4459
825	21045	4433
826	21064	4406
827	21091	4381
828	21112	4354
829	21137	4329
830	21156	4302
831	21176	4276
832	21198	4249
833	21219	4223
834	21240	4197
835	21360	4190
836	21411	4169
837	21448	4146
838	21494	4124
839	21517	4098
840	21550	4074
841	21590	4051
842	21651	4032
843	21687	4008
844	21723	3984
845	21755	3960
846	21787	3935
847	21840	3914
848	21886	3892
849	21935	3870
850	21983	3849
851	22037	3828
852	22088	3806
853	22125	3782
854	22159	3758
855	22198	3734
856	22245	3711
857	22277	3686
858	22325	3664
859	22356	3639
860	22391	3614
861	22431	3591
862	22466	3566
863	22499	3541
864	22532	3516
865	22567	3492
866	22600	3467
867	22644	3443
868	22689	3420
869	22740	3397
870	22763	3371
871	22789	3345
872	22816	3319
873	22867	3296
874	22901	3271
875	22933	3246
876	22965	3220
877	23003	3196
878	23045	3172
879	23075	3146
880	23107	3121
881	23140	3095
882	23173	3070
883	23214	3046
884	23248	3021
885	23277	2995
886	23311	2969
887	23353	2945
888	23378	2919
889	23417	2894
890	23463	2870
891	23505	2845
892	23557	2822
893	23595	2797
894	23642	2773
895	23679	2748
896	23712	2722
897	23752	2697
898	23797	2673
899	23839	2648
900	23859	2621
901	23882	2594
902	23903	2567
903	23929	2541
904	23958	2514
905	23975	2487
906	23996	2460
907	24017	2433
908	24037	2406
909	24052	2378
910	24070	2351
911	24085	2324
912	24122	2298
913	24142	2271
914	24159	2244
915	24178	2217
916	24194	2189
917	24217	2163
918	24237	2136
919	24256	2109
920	24274	2082
921	24292	2055
922	24311	2028
923	24333	2001
924	24351	1974
925	24369	1947
926	24389	1920
927	24415	1894
928	24434	1867
929	24451	1840
930	24468	1813
931	24489	1786
932	24513	1760
933	24532	1733
934	24559	1707
935	24579	1680
936	24607	1654
937	24640	1628
938	24664	1602
939	24698	1576
940	24738	1551
941	24776	1525
942	24819	1500
943	24847	1473
944	24881	1448
945	24917	1422
946	24945	1396
947	24975	1369
948	24999	1343
949	25030	1317
950	25067	1291
951	25093	1265
952	25130	1239
953	25163	1213
954	25194	1187
955	25222	1160
956	25255	1134
957	25293	1108
958	25329	1082
959	25372	1057
960	25412	1031
961	25450	1005
962	25477	978
963	25517	952
964	25546	926
965	25576	900
966	25619	874
967	25655	848
968	25680	821
969	25714	795
970	25754	769
971	25793	743
972	25848	717
973	25881	690
974	25913	664
975	25952	638
976	25983	611
977	26015	585
978	26046	558
979	26077	532
980	26114	505
981	26139	479
982	26168	452
983	26204	426
984	26236	399
985	26265	372
986	26303	346
987	26337	319
988	26368	293
989	26401	266
990	26436	240
991	26474	213
992	26506	186
993	26538	160
994	26574	133
995	26607	106
996	26643	80
997	26671	53
998	26709	26
999	26741	0
