iter	RMSE
138	1347.88993
139	1346.402099
140	1343.594159
141	1342.629238
142	1340.642719
143	1339.137385
144	1337.49182
145	1335.568341
146	1332.29118
147	1331.081153
148	1329.98359
149	1329.792248
150	1328.276837
151	1326.619737
152	1326.414383
153	1324.866854
154	1322.971685
155	1321.332468
156	1319.542052
157	1316.905623
158	1315.203484
159	1313.372094
160	1310.723715
161	1310.484246
162	1308.57917
163	1306.714546
164	1306.61825
165	1305.534468
166	1305.381315
167	1303.638269
168	1301.66081
169	1299.381677
170	1298.320176
171	1296.788825
172	1294.570265
173	1293.160677
174	1291.593933
175	1290.859604
176	1290.69649
177	1289.142062
178	1287.340072
179	1285.939278
180	1284.164999
181	1283.024504
182	1282.904675
183	1281.123143
184	1279.697563
185	1278.030833
186	1275.701753
187	1273.79585
188	1272.39838
189	1270.205803
190	1270.124686
191	1269.18312
192	1267.850266
193	1267.707884
194	1266.301759
195	1265.157523
196	1264.22839
197	1263.238442
198	1261.41443
199	1261.178726
200	1259.575171
201	1257.32067
202	1255.883897
203	1254.359196
204	1253.590107
205	1252.134743
206	1250.55331
207	1248.67819
208	1248.462538
209	1247.217782
210	1245.384644
211	1245.189752
212	1243.411446
213	1242.476878
214	1241.740702
215	1239.707499
216	1237.418546
217	1236.599512
218	1235.719339
219	1233.80441
220	1232.829451
221	1231.494029
222	1230.60494
223	1229.181799
224	1227.424446
225	1227.078256
226	1226.371955
227	1224.327991
228	1222.827104
229	1222.584144
230	1222.138511
231	1221.210437
232	1219.944201
233	1219.854583
234	1218.750486
235	1216.803485
236	1215.647311
237	1214.415729
238	1213.32365
239	1212.086445
240	1211.246061
241	1210.028207
242	1209.699332
243	1208.159061
244	1205.698048
245	1205.612858
246	1204.811406
247	1203.887037
248	1202.966193
249	1201.576071
250	1200.707725
251	1200.315506
252	1199.304374
253	1197.860447
254	1197.771597
255	1197.462482
256	1196.428419
257	1196.195241
258	1195.336503
259	1194.867282
260	1193.549985
261	1193.067467
262	1192.577704
263	1191.430348
264	1190.579264
265	1190.130701
266	1188.265598
267	1187.061652
268	1185.859531
269	1185.066751
270	1184.978206
271	1184.125752
272	1184.068973
273	1183.743525
274	1182.809084
275	1180.702587
276	1179.446682
277	1178.324681
278	1177.694957
279	1177.111912
280	1175.91886
281	1175.031379
282	1173.398578
283	1171.791695
284	1170.737891
285	1169.501391
286	1168.530211
287	1167.196735
288	1166.602954
289	1165.921129
290	1164.441321
291	1163.41551
292	1163.006499
293	1162.248377
294	1161.151707
295	1160.713343
296	1160.522154
297	1159.670878
298	1158.285631
299	1157.535794
300	1155.697658
301	1154.172464
302	1152.665491
303	1152.293052
304	1151.602896
305	1151.311725
306	1151.296716
307	1149.890047
308	1148.557465
309	1148.438642
310	1146.221538
311	1145.11195
312	1144.367813
313	1142.800068
314	1142.017521
315	1141.732022
316	1140.907257
317	1140.695969
318	1139.70675
319	1139.48974
320	1139.213739
321	1138.765625
322	1137.444665
323	1136.288963
324	1135.042691
325	1134.411747
326	1133.700252
327	1133.207464
328	1132.467107
329	1130.962445
330	1130.311016
331	1130.197619
332	1130.056734
333	1130.02205
334	1129.735389
335	1128.920912
336	1127.854214
337	1127.096396
338	1126.720441
339	1126.50066
340	1125.530095
341	1124.789117
342	1123.458713
343	1121.66078
344	1120.83413
345	1120.299484
346	1119.553563
347	1119.192291
348	1118.175861
349	1117.934492
350	1117.235899
351	1116.185352
352	1115.102913
353	1113.766615
354	1113.384235
355	1113.382973
356	1113.044548
357	1112.314982
358	1111.069474
359	1109.650576
360	1108.934545
361	1107.501483
362	1107.345999
363	1106.739714
364	1106.385915
365	1105.835877
366	1104.602935
367	1104.327608
368	1104.163061
369	1103.063094
370	1102.475184
371	1102.334515
372	1101.953616
373	1101.213635
374	1100.981807
375	1100.064385
376	1099.917003
377	1099.618813
378	1099.496137
379	1099.032518
380	1098.806265
381	1098.603619
382	1097.745008
383	1096.069462
384	1095.646116
385	1094.662982
386	1094.335165
387	1092.237159
388	1092.024335
389	1090.509877
390	1089.929491
391	1089.785422
392	1089.261699
393	1088.685958
394	1088.111745
395	1087.045065
396	1086.872273
397	1085.297052
398	1084.466565
399	1083.89655
400	1083.074262
401	1082.893065
402	1082.11745
403	1081.549177
404	1080.102583
405	1079.332784
406	1078.21206
407	1078.012819
408	1077.191907
409	1076.886216
410	1075.866864
411	1075.15379
412	1074.81321
413	1073.799686
414	1073.578137
415	1073.014489
416	1072.794113
417	1071.915141
418	1071.064371
419	1070.582533
420	1070.266329
421	1070.007283
422	1069.941728
423	1069.70626
424	1068.48959
425	1067.043811
426	1065.743266
427	1064.908454
428	1064.308517
429	1063.898371
430	1062.898812
431	1061.857864
432	1060.286487
433	1059.401114
434	1058.742805
435	1058.639846
436	1057.560362
437	1055.874539
438	1054.955507
439	1054.772688
440	1054.026566
441	1053.425825
442	1052.639281
443	1052.438444
444	1051.674633
445	1051.088649
446	1050.782486
447	1050.148651
448	1049.898763
449	1049.748783
450	1048.908628
451	1048.43593
452	1047.700321
453	1046.843708
454	1046.338858
455	1046.091025
456	1045.221344
457	1044.654723
458	1043.774011
459	1042.709874
460	1042.487122
461	1042.116141
462	1041.656862
463	1040.958496
464	1040.413455
465	1039.509015
466	1039.423845
467	1039.266484
468	1038.055718
469	1037.581152
470	1036.705708
471	1036.176986
472	1035.734856
473	1034.808594
474	1034.017783
475	1033.297451
476	1032.950546
477	1032.769387
478	1032.294584
479	1031.240836
480	1029.967136
481	1029.535609
482	1028.597444
483	1028.256526
484	1027.525305
485	1027.265515
486	1025.895505
487	1025.072083
488	1024.289624
489	1023.9847
490	1022.710479
491	1021.904742
492	1020.808947
493	1020.57947
494	1019.730178
495	1019.529338
496	1019.463929
497	1018.743566
498	1018.541484
499	1018.47895
500	1017.180678
501	1016.533555
502	1016.334931
503	1015.380576
504	1014.758061
505	1014.006055
506	1013.413704
507	1012.495648
508	1011.891797
509	1011.181701
510	1010.754368
511	1010.328239
512	1010.202749
513	1010.034374
514	1009.31798
515	1008.367321
516	1007.969718
517	1007.589702
518	1007.372717
519	1005.742894
520	1004.838495
521	1004.66107
522	1004.107675
523	1003.544629
524	1003.070665
525	1002.925282
526	1002.043823
527	1001.723159
528	1000.938435
529	999.9560053
530	998.9839467
531	998.4978608
532	998.324695
533	997.8431966
534	997.374711
535	996.8925604
536	996.3764355
537	996.0800619
538	994.3185208
539	993.5482563
540	993.0854463
541	992.7556553
542	991.9292646
543	991.3438449
544	991.3211576
545	990.9451421
546	990.43958
547	990.0519799
548	989.9347235
549	989.3788329
550	988.7070916
551	988.1321949
552	986.8352671
553	986.0269891
554	985.2829253
555	983.8855283
556	983.2571792
557	982.4012846
558	981.3896346
559	980.296338
560	979.440983
561	978.5491066
562	978.3701791
563	977.8968375
564	977.0374526
565	976.0529983
566	975.3361475
567	974.5490035
568	973.6670566
569	973.5215601
570	972.8080256
571	972.1945331
572	971.4018662
573	970.9748305
574	970.4073749
575	968.8494856
576	967.788375
577	966.3579523
578	966.2835695
579	965.9818715
580	965.9143162
581	965.1316413
582	964.8124761
583	964.0268644
584	963.1513134
585	962.3144483
586	962.1974449
587	961.4126258
588	960.8979063
589	960.1685406
590	960.0127249
591	959.0635123
592	958.2234127
593	957.7612153
594	956.8152792
595	956.158117
596	955.7679212
597	955.7040732
598	954.6395055
599	954.1579959
600	953.3061046
601	952.1330602
602	951.3893955
603	950.6350327
604	949.9272359
605	949.5508775
606	948.6897231
607	948.0979058
608	947.5494063
609	946.9835254
610	946.7789344
611	946.1032327
612	945.6601509
613	945.2269063
614	945.025127
615	944.0148825
616	943.0436959
617	942.385844
618	941.6616038
619	941.2650584
620	940.6714835
621	940.374997
622	940.1538485
623	940.0349412
624	939.5326635
625	939.1075322
626	938.9703557
627	938.374696
628	937.6974747
629	937.3574536
630	936.2989863
631	936.1750772
632	935.7020755
633	934.8990934
634	934.3396108
635	933.1619647
636	932.5436143
637	931.4690123
638	930.822722
639	929.5944841
640	929.2934628
641	929.2324848
642	928.3393344
643	927.7882593
644	926.9278439
645	926.7718631
646	925.6912983
647	925.0268066
648	924.3188107
649	923.6447381
650	922.6014928
651	921.972291
652	920.9058134
653	920.5563223
654	919.6635714
655	918.6901783
656	918.1859399
657	917.2195877
658	916.341842
659	915.5386233
660	914.5769543
661	914.241266
662	913.6265453
663	913.3993033
664	912.9035836
665	912.6885555
666	911.9871227
667	911.1562283
668	910.9525381
669	910.4223161
670	910.1008452
671	909.3862559
672	908.7934148
673	908.1330846
674	907.8961744
675	907.3390669
676	906.9226296
677	906.6971581
678	905.869176
679	905.4529422
680	904.8863606
681	904.4338691
682	903.8629564
683	903.4914138
684	902.8140587
685	902.3032018
686	901.4766162
687	900.7513097
688	899.6499547
689	899.3261638
690	899.2077105
691	898.589312
692	898.1820626
693	896.9293288
694	896.5663182
695	896.3163281
696	896.0075992
697	895.5049811
698	895.1293048
699	894.5956991
700	893.7149944
701	893.3844254
702	893.0337276
703	892.5746423
704	891.5997889
705	891.0044679
706	890.4013731
707	889.8232596
708	889.6800391
709	889.1463667
710	889.0147524
711	888.3994045
712	887.7861305
713	886.8999945
714	886.1139909
715	885.5167694
716	885.0890627
717	884.6088196
718	883.9747625
719	883.2549754
720	883.1718117
721	882.7577577
722	881.954292
723	881.1907719
724	880.9913849
725	880.5252597
726	880.404351
727	879.8629496
728	879.4125978
729	879.037325
730	878.6161787
731	878.3899889
732	878.0311309
733	877.8552515
734	877.691569
735	877.307755
736	876.6112592
737	876.5208202
738	875.8923055
739	875.754952
740	875.4247104
741	874.7940305
742	873.9848839
743	873.754265
744	872.9740608
745	872.4166834
746	872.2293917
747	872.0056275
748	871.7957959
749	871.7685943
750	871.2422995
751	870.9415067
752	870.211868
753	869.9270097
754	869.8977453
755	869.2090705
756	868.7858937
757	868.0812825
758	867.0707177
759	866.7315176
760	866.6477079
761	865.8345366
762	865.5610318
763	865.29435
764	865.1115562
765	864.569008
766	864.4948413
767	864.2561512
768	864.0490137
769	863.8660973
770	863.2755024
771	862.9060578
772	862.6040644
773	862.2137245
774	861.9037156
775	861.4371214
776	860.9850949
777	860.3456398
778	860.2011084
779	859.49711
780	859.0150386
781	857.8264743
782	857.5172306
783	857.4121882
784	857.1738728
785	856.5139102
786	856.3408015
787	855.8773226
788	855.0144923
789	854.6170846
790	854.3493302
791	854.0600846
792	853.3640425
793	852.618031
794	851.8945553
795	851.7321574
796	851.2768731
797	849.9403842
798	849.3093494
799	849.2071382
800	849.1784058
801	848.8978832
802	848.8060975
803	848.3485327
804	847.6236696
805	846.6555847
806	846.1461698
807	845.5378181
808	845.0409829
809	844.374455
810	843.7621216
811	843.3889709
812	842.7514335
813	842.1071146
814	841.3726668
815	840.7939472
816	840.7732309
817	840.6001912
818	840.053841
819	839.8097801
820	839.3676119
821	838.8988924
822	838.767363
823	837.7259858
824	837.3645905
825	836.5226193
826	835.406372
827	834.2881171
828	833.2051831
829	832.6160653
830	832.466151
831	832.1177413
832	831.2659823
833	831.0227932
834	830.8742953
835	830.4678591
836	829.6760463
837	828.8166178
838	828.0527682
839	827.6900811
840	827.1777936
841	826.7830546
842	826.3171697
843	826.0075842
844	825.4923299
845	825.0806391
846	824.594251
847	824.0859503
848	823.2980654
849	822.6828172
850	821.8871745
851	821.6384551
852	820.9351005
853	820.3507279
854	819.7286042
855	819.4810041
856	819.2046499
857	819.0762911
858	817.9662628
859	817.8450533
860	817.5113391
861	817.4824642
862	817.1192496
863	817.0930206
864	816.8139665
865	815.7537655
866	814.8370235
867	814.3122891
868	814.0294609
869	813.5361857
870	813.2234659
871	813.1555833
872	812.9930257
873	812.8786094
874	812.2119631
875	812.1042099
876	812.0918383
877	811.990164
878	811.557436
879	810.4686006
880	810.2767234
881	809.6709197
882	809.2006833
883	808.8438103
884	808.5379291
885	808.2814609
886	807.930343
887	807.2195613
888	806.9586131
889	805.8253723
890	805.2358032
891	804.4073786
892	803.9628936
893	803.4787481
894	802.7346439
895	802.2748825
896	801.3565282
897	800.6822643
898	800.1531908
899	799.5231044
900	798.9243013
901	798.4386516
902	798.2822192
903	797.7902081
904	797.5385451
905	797.5220471
906	797.1203352
907	796.7807312
908	795.9757414
909	795.7796095
910	795.275352
911	795.1267044
912	794.9592056
913	794.223998
914	794.111366
915	793.8671155
916	793.6879527
917	793.5075599
918	793.0653248
919	792.5599634
920	792.3956543
921	792.0409671
922	791.9420353
923	791.3111691
924	790.9599769
925	790.3412624
926	789.9707776
927	789.0820873
928	788.6816338
929	788.1474416
930	787.9621759
931	787.5162539
932	787.3516373
933	786.652084
934	785.9793078
935	785.5617578
936	785.2106111
937	784.7261945
938	784.2025044
939	784.1000128
940	783.4774628
941	782.3623002
942	781.7397413
943	780.8994847
944	780.57304
945	780.4846809
946	780.1771065
947	779.7573473
948	779.442517
949	779.0554147
950	778.6105547
951	778.4071073
952	778.1180384
953	777.1827695
954	777.056323
955	776.7408542
956	776.5887283
957	776.3903542
958	775.8283293
959	775.3325757
960	774.7174896
961	774.3827378
962	774.1420118
963	773.6857407
964	773.4844241
965	773.414895
966	772.9535758
967	772.7262037
968	772.2139325
969	772.0012079
970	771.4190374
971	770.7218707
972	770.1794595
973	769.3493801
974	769.1478836
975	768.7211451
976	768.4923414
977	768.1269821
978	768.0495037
979	767.8191717
980	767.4416558
981	767.1508878
982	766.8211351
983	766.5629115
984	766.0172929
985	765.854898
986	765.383926
987	765.1631158
988	764.7623897
989	764.4834522
990	763.9265222
991	763.3708442
992	763.1848147
993	762.82179
994	762.4005103
995	761.8969789
996	761.4625635
997	760.9836468
998	760.0900528
999	759.8062911
